S/N,AMOUNT,ITEM,??,UNIX TIMESTAMP,STATUS,PAYMENT REF,SESSION,,PRINT STATUS,LEVEL,??
62,10000,TRANS,1,1612819585,failed,WG7UKVN8P,2020/2021,nil,UNPRINTED,,NIL
63,25000,CERT,1,1678304178,failed,VKN0BS95Q,2020/2021,nil,UNPRINTED,HND,NIL
64,25000,CERT,1,1612857379,successful,QA0BNU82K,2020/2021,nil,PRINTED,ND,YES
65,10000,TRANS,1,1612862156,failed,GQT0P7H25,2020/2021,nil,UNPRINTED,ND,NIL
66,10000,TRANS,1,1612871010,successful,08PV5CATM,2020/2021,nil,PRINTED,ND,NIL
89,25000,CERT,1,1613560108,failed,QKAGE71PU,2020/2021,nil,UNPRINTED,ND,NIL
67,10000,TRANS,1,1612888677,failed,4PHS7J1C8,2020/2021,nil,UNPRINTED,ND,NIL
68,25000,CERT,1,1612955288,successful,TQ0S9W27M,2020/2021,nil,PRINTED,HND,YES
97,25000,CERT,1,1613184836,successful,WFJBHVDSQ,2020/2021,nil,UNPRINTED,HND,YES
71,25000,CERT,1,1612954812,successful,6FEWMDPCU,2020/2021,nil,UNPRINTED,HND,YES
72,25000,CERT,1,1612956216,successful,0Q0SDWECT,2020/2021,nil,PRINTED,ND,YES
73,25000,CERT,1,1612961882,successful,KWNTB46MC,2020/2021,nil,UNPRINTED,HND,YES
74,10000,TRANS,1,1613657162,successful,C0NQAWD15,2020/2021,nil,PRINTED,HND,NIL
75,25000,CERT,1,1613598423,successful,D0HB54A0U,2020/2021,nil,PRINTED,HND,NIL
76,25000,CERT,1,1613037122,successful,MGFU47SNA,2020/2021,nil,PRINTED,ND,NIL
77,25000,CERT,1,1613038102,successful,WM50Q9K8B,2020/2021,nil,PRINTED,ND,NIL
78,25000,CERT,1,1613038848,failed,WGRN8VQ6F,2020/2021,nil,UNPRINTED,ND,NIL
80,25000,CERT,1,1613043712,successful,N9T2VH60J,2020/2021,nil,PRINTED,ND,NIL
87,25000,CERT,1,1613048985,failed,H57PN2D80,2020/2021,nil,UNPRINTED,ND,NIL
84,25000,CERT,1,1613045339,successful,PK0TND7V1,2020/2021,nil,PRINTED,ND,NIL
86,25000,CERT,1,1613048848,failed,8J0BTMGDN,2020/2021,nil,UNPRINTED,HND,NIL
88,10000,TRANS,1,1613049108,failed,8VEQ0FG9B,2020/2021,nil,UNPRINTED,ND,NIL
90,10000,TRANS,1,1622113940,successful,E5GN90JC8,2020/2021,nil,UNPRINTED,ND,YES
91,10000,TRANS,1,1689167100,successful,7M6K2Q1DV,2020/2021,nil,PRINTED,ND,NIL
96,25000,CERT,1,1613133707,failed,V70AT1QD9,2020/2021,nil,UNPRINTED,ND,NIL
92,25000,CERT,1,1613117770,failed,4TA2W9ED5,2020/2021,nil,UNPRINTED,HND,NIL
93,25000,CERT,1,1613119748,successful,52RW9UKCP,2020/2021,nil,PRINTED,ND,YES
94,25000,CERT,1,1613122831,successful,BAV5T76QG,2020/2021,nil,PRINTED,ND,YES
95,25000,CERT,1,1613126058,successful,7TMBCPUSR,2020/2021,nil,PRINTED,ND,NIL
98,25000,CERT,1,1622621418,successful,WFJBHVDSQ,2020/2021,nil,PRINTED,ND,NIL
99,25000,CERT,1,1613204955,failed,W6VH72PMT,2020/2021,nil,UNPRINTED,HND,NIL
100,10000,TRANS,1,1613217962,failed,GAT2H104K,2020/2021,nil,UNPRINTED,HND,NIL
101,25000,CERT,1,1613380047,successful,GA14QPT7S,2020/2021,nil,PRINTED,ND,YES
102,25000,CERT,1,1634043503,successful,C8EN1MWAS,2020/2021,nil,PRINTED,ND,NIL
103,10000,TRANS,1,1613321809,failed,DAEHUK0GR,2020/2021,nil,UNPRINTED,ND,NIL
104,25000,CERT,1,1613477665,successful,P96VB20NH,2020/2021,nil,PRINTED,ND,NIL
105,25000,CERT,1,1613377614,successful,SUTFA1E8C,2020/2021,nil,PRINTED,HND,NIL
106,25000,CERT,1,1644495133,successful,42QF5RE0A,2020/2021,nil,PRINTED,ND,NIL
